hex_id,lcz,svf,plan_area,wall_area_m2,height
21447,17,1.0,0.0,0.0,0.0
21449,17,1.0,0.0,0.0,0.0
21451,17,1.0,0.0,0.0,0.0
21452,17,1.0,0.0,0.0,0.0
21453,17,0.996910048356,0.0,0.0,0.0
21454,17,0.99544202143,0.0,0.0,0.0
21455,14,0.917934741058,7289.594693627099,14466.280464550495,6.767
21457,6,0.891242115596,10379.54668847589,21312.96611575362,6.316521739130434
21780,6,0.902164466069,8119.796063138366,11511.28965357997,4.3906
21782,6,0.899635388375,11880.254417708165,19020.16449292382,4.333493975903615
21784,3,0.866542623058,14821.08258264235,21454.23999282306,5.395396825396825
21792,17,0.993324354104,418.92537727593003,432.629384632952,5.869999999999999
21794,17,1.0,0.0,0.0,0.0
21795,17,1.0,0.0,0.0,0.0
21796,17,1.0,0.0,0.0,0.0
21797,17,1.0,0.0,0.0,0.0
21798,17,1.0,0.0,0.0,0.0
21799,17,1.0,0.0,0.0,0.0
21800,17,1.0,0.0,0.0,0.0
21802,17,1.0,0.0,0.0,0.0
21803,17,1.0,0.0,0.0,0.0
21804,17,1.0,0.0,0.0,0.0
21805,17,1.0,0.0,0.0,0.0
21806,17,0.999928872759,0.0,0.0,0.0
21807,17,1.0,0.0,0.0,0.0
21808,17,1.0,0.0,0.0,0.0
21809,17,0.999959975559,0.0,0.0,0.0
21810,3,0.940666687334,4113.176299999456,10200.145078639142,7.4352
21811,17,0.997822284946,0.0,0.0,0.0
21812,17,0.995239416165,433.335239792807,600.1652256013829,4.9366666666666665
21813,17,0.999911390015,0.0,0.0,0.0
21814,12,0.939949837126,1551.1734113363,3329.212405568946,7.273333333333333
21815,12,0.886448126807,1014.0944528047801,2227.3921062050917,6.405
21816,6,0.853068487864,13365.400370675789,23353.65301510524,6.241604938271605
21817,3,0.862434150934,13900.062399967128,27139.819871899996,6.2357798165137615
21818,6,0.854735672211,12214.9156466996,22078.569501151414,5.604772727272728
21819,6,0.893084649475,9429.711510688927,18132.38037781196,5.9189655172413795
21820,6,0.921803213217,4047.9080960680567,7107.699186307203,6.166799999999999
21821,12,0.979901962411,0.0,0.0,0.0
21822,14,0.997954866947,0.0,0.0,0.0
22137,3,0.887944031324,9634.836079047687,12776.438755811161,4.913529411764706
22138,6,0.896530567503,10581.00112927485,15268.410345265629,3.9524999999999997
22139,6,0.885160978116,11262.89976581334,17110.149839416685,4.1903896103896106
22140,6,0.884586257547,10526.50442529946,15447.987930213636,4.369027777777777
22141,6,0.890310551899,14500.58805758272,22716.408868171253,4.685
22142,6,0.891246351993,13855.80130979506,20167.772208316568,4.516883116883117
22143,6,0.882638233024,12053.569734832483,19032.42120768756,4.570963855421686
22144,6,0.872241118159,12119.54269500535,18733.89743672886,5.179661016949153
22145,3,0.875896196329,10150.393273669073,16649.53666110419,6.6378378378378375
22146,3,0.891617675055,13205.439592996885,20857.690879280344,4.703604651162791
22147,6,0.876365297543,10884.014566742715,17846.014159710736,4.516629213483146
22148,6,0.891579607366,12931.196140774453,19674.894018130486,4.901688311688312
22149,6,0.895914238033,8350.748143955763,12517.818087450021,4.890588235294118
22150,6,0.887657921667,11936.5859300557,20656.737424765306,4.8230864197530865
22151,6,0.866700217921,11364.595593037411,21158.878461800567,5.322857142857143
22152,14,0.956133455319,1129.5142059231,1457.0386095681451,5.6259999999999994
22153,15,0.979479041153,2705.0990190361,2036.7726894003658,5.4775
22154,17,0.999999784341,0.0,0.0,0.0
22155,17,1.0,0.0,0.0,0.0
22156,17,1.0,0.0,0.0,0.0
22157,17,1.0,0.0,0.0,0.0
22158,17,1.0,0.0,0.0,0.0
22159,17,1.0,0.0,0.0,0.0
22160,17,1.0,0.0,0.0,0.0
22161,17,1.0,0.0,0.0,0.0
22162,17,1.0,0.0,0.0,0.0
22163,17,1.0,0.0,0.0,0.0
22164,17,1.0,0.0,0.0,0.0
22165,17,1.0,0.0,0.0,0.0
22166,17,1.0,0.0,0.0,0.0
22167,12,0.988858412847,0.0,0.0,0.0
22168,17,0.999096600256,0.0,0.0,0.0
22169,14,0.99214693106,0.0,0.0,0.0
22170,17,0.990620476181,243.42516838242,269.06038136385257,3.905
22171,3,0.886058071955,12144.482970482442,24765.455877832697,6.188888888888889
22172,6,0.879414047458,11114.088227711212,21688.370775122075,5.689466666666666
22173,3,0.883325646045,13078.65726893637,25048.10910803129,6.078378378378378
22174,6,0.935584988714,5086.807932784879,10907.238614174628,7.278367346938775
22175,6,0.873721694563,11256.86480807007,20408.72836828116,6.983333333333333
22176,12,0.865064737858,1896.38803419652,3534.2319189910286,6.526
22177,6,0.857422325196,9882.93405216396,18454.96542317136,5.511923076923077
22178,6,0.851008594488,9317.07036815466,18662.94257021709,5.868985507246377
22179,6,0.853352424431,11384.85190099365,20342.064550925563,5.9115714285714285
22180,6,0.839270319555,6699.903244818692,16818.46223948155,6.172978723404255
22181,6,0.861998178554,14906.570165776373,23825.50207173448,5.711287128712872
22182,14,0.947374968439,2018.0189649553,3321.4911654657,5.203529411764706
22183,8,0.923982048104,4834.6304762957,6469.201328778016,12.530000000000001
22184,17,0.985842809563,986.6616155676,1212.579394475866,7.2125
22185,17,0.998373760712,0.0,0.0,0.0
22494,14,0.978944230974,4006.446740969,3724.915823251879,7.318
22495,9,0.993848495555,0.0,0.0,0.0
22496,14,0.986922143945,186.09713962007442,417.3390294274,5.318333333333333
22497,6,0.899677327817,11378.04713977877,18946.691103284575,4.51025641025641
22498,6,0.874188998347,12161.733119128066,17710.85038433118,4.332592592592593
22499,6,0.87935895326,10820.157791361127,16497.762301369334,3.847676767676768
22500,6,0.89981099859,6223.623815100522,7933.589318281003,4.332333333333334
22501,6,0.89537196405,12955.68941539472,22254.567913000406,4.748192771084337
22502,6,0.898971580363,13121.16293282165,19232.375392544636,4.252643678160919
22503,6,0.876705312975,11630.838587470771,21513.577603567468,4.708857142857143
22504,6,0.93684162229,3927.01473371895,6648.958070078504,5.350666666666667
22505,12,0.954280433971,2268.3484539013,5006.841802202677,5.2705
22506,12,0.951367363951,3468.7663370617,2450.7939520719387,5.8925
22507,6,0.909198197839,6997.701633774651,10119.464766249826,5.189210526315789
22508,6,0.885324290569,9546.75617584542,16950.176045364624,5.2727868852459014
22509,6,0.890791604625,12931.611151396994,22190.984508975944,4.984166666666667
22510,6,0.911825357135,5468.330554128908,9508.605633451381,4.845135135135135
22511,6,0.896774130351,13982.07156418131,20909.999547735006,5.1325
22512,6,0.913104131458,7468.05646531015,12487.441827705567,4.878
22513,9,0.90711923474,8163.7885818861,12926.156029997954,5.061702127659575
22514,6,0.916316469,8485.46053996329,15243.319673938438,5.1456140350877195
22515,14,0.985226859975,1306.91619646,1862.088173476229,4.87
22516,14,0.985964498459,0.0,0.0,0.0
22517,14,0.999803915139,0.0,0.0,0.0
22518,12,0.997409739151,0.0,0.0,0.0
22519,17,1.0,0.0,0.0,0.0
22520,17,1.0,0.0,0.0,0.0
22521,17,1.0,0.0,0.0,0.0
22522,17,1.0,0.0,0.0,0.0
22523,17,1.0,0.0,0.0,0.0
22524,17,1.0,0.0,0.0,0.0
22525,17,1.0,0.0,0.0,0.0
22526,17,0.999581651621,0.0,0.0,0.0
22527,17,0.998653172147,0.0,0.0,0.0
22528,9,0.943356203272,4207.75874220727,10772.020331870659,8.516206896551724
22529,12,0.958798953381,1463.431076852108,4404.236101973368,8.30846153846154
22530,6,0.888272721004,9789.818793917484,21487.182955152613,6.68931506849315
22531,3,0.878875219511,11445.6147755813,24954.790247961646,7.439749999999999
22532,3,0.861379389207,12269.748287046124,25921.769524033407,6.028787878787879
22533,6,0.852688027416,14013.06263470715,28194.223128111364,6.010659340659341
22534,6,0.84509002454,12377.500825299629,24482.29625279072,6.568493150684931
22535,6,0.85527939516,13925.89394375031,27025.95047038244,6.272127659574468
22536,6,0.85349979056,11173.490541856583,19806.94500710886,5.902597402597403
22537,6,0.866806746046,10750.906791380077,17158.79151900186,5.225806451612903
22538,3,0.859805786997,12528.610130372397,23423.020460857588,5.666086956521739
22539,6,0.864571894221,7831.678694194893,14972.394399543286,5.969074074074074
22540,6,0.842784066087,11938.12132502998,27240.88654426485,6.455625
22541,6,0.851598191731,13875.431308214427,26266.670652483717,5.80873786407767
22542,8,0.83701536856,15201.376900668949,31182.87963209082,8.58390625
22543,8,0.924600456575,5888.6122264166315,7657.125187520294,10.933636363636364
22544,8,0.900142195699,9800.5491591073,17383.956420189304,10.135882352941177
22545,8,0.932945408288,7473.15187840019,11841.086214787807,8.910588235294117
22546,17,0.999013225486,0.0,0.0,0.0
22547,17,0.993961140838,216.445961658,645.4216778706821,12.82
22548,17,0.999939390844,0.0,0.0,0.0
22853,8,0.96959267472,10468.2223241253,4854.478175342646,6.421428571428572
22854,8,0.914272313349,17074.756642722,12726.483058579226,7.649473684210527
22855,8,0.914043365486,16321.3213256654,12748.755452400856,7.632307692307692
22856,8,0.942070458037,9472.463363980847,8435.03406278771,7.067142857142857
22857,6,0.884837155144,12160.208349304196,15542.531114740716,4.207972972972973
22858,6,0.882492016909,13431.978588265174,20397.57940159076,4.485777777777778
22859,6,0.897630982712,7446.956837633626,11132.506648624392,4.314126984126984
22860,6,0.902523294892,6972.6060406855395,10457.88457450088,4.010769230769231
22861,9,0.910813884962,3656.74831507345,5004.601777967824,4.231379310344828
22862,6,0.890260104931,10710.12144818043,16892.49530469603,4.66955223880597
22863,6,0.902601746226,14810.606706085,21952.543246438996,4.525172413793103
22864,6,0.879257384019,9966.565921059957,17606.187910610177,4.972638888888889
22865,12,0.953817799694,395.3104126106,647.3123935748804,3.2900000000000005
22866,12,0.958203488313,595.5470000180001,858.3682359091,5.715
22867,14,0.949426780082,0.0,0.0,0.0
22868,12,0.921257962785,316.0387089319,557.178693991754,6.965
22869,17,0.988044281766,45.1073170049,63.408737145551,2.27
22870,12,0.932934152741,302.5995630342,709.5655116347856,4.826
22871,17,0.998007798565,0.0,0.0,0.0
22872,9,0.897896873203,2416.568608139,3773.6132435490176,4.3575
22873,12,0.936818550023,1559.6602385327,2719.3918585788,4.3730769230769235
22874,6,0.89951280878,11546.90037619732,15554.751122328402,4.4112857142857145
22875,6,0.886775160947,13420.09450362362,19911.066357579763,4.394555555555556
22876,12,0.922480963113,2496.9633954416,4533.779490788012,4.623181818181818
22877,12,0.911278492194,91.8341044925,270.11878853428,6.32
22878,14,0.920548385126,0.0,0.0,0.0
22879,12,0.999310436545,0.0,0.0,0.0
22880,12,1.0,0.0,0.0,0.0
22881,17,1.0,0.0,0.0,0.0
22882,17,1.0,0.0,0.0,0.0
22883,17,1.0,0.0,0.0,0.0
22884,17,1.0,0.0,0.0,0.0
22885,17,1.0,0.0,0.0,0.0
22886,17,1.0,0.0,0.0,0.0
22887,17,0.999998287704,0.0,0.0,0.0
