Id,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8
21447,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.00000000000,0.00000000000,0.00000000000
21449,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.00000000000,0.00000000000,0.00000000000
21451,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.08000000000,0.00000000000,0.00000000000
21452,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,35279.32000000000,0.00000000000,0.00000000000
21453,856.68000000000,649.52000000000,1523.96000000000,288.40000000000,66.72000000000,36968.60000000000,227.16000000000,0.00000000000
21454,258.52000000000,29.28000000000,4616.64000000000,453.88000000000,98.68000000000,32484.72000000000,631.28000000000,0.00000000000
21455,9941.72000000000,6361.92000000000,14342.52000000000,3478.16000000000,2562.44000000000,2025.20000000000,1869.04000000000,0.00000000000
21457,13096.36000000000,9976.24000000000,9013.24000000000,3959.20000000000,3412.60000000000,0.00000000000,1123.32000000000,0.00000000000
21780,14630.44000000000,6307.56000000000,5231.16000000000,2278.88000000000,3078.48000000000,0.00000000000,5045.04000000000,0.00000000000
21782,17633.76000000000,8945.24000000000,6241.96000000000,3663.80000000000,2868.08000000000,0.00000000000,1234.48000000000,0.00000000000
21784,13839.00000000000,15721.88000000000,2117.44000000000,1537.80000000000,3875.20000000000,0.00000000000,1675.84000000000,0.00000000000
21792,1965.00000000000,791.92000000000,3025.72000000000,397.88000000000,177.60000000000,32667.08000000000,1580.80000000000,0.00000000000
21794,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40605.96000000000,0.00000000000,0.00000000000
21795,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,38744.56000000000,0.00000000000,0.00000000000
21796,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40606.04000000000,0.00000000000,0.00000000000
21797,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40606.04000000000,0.00000000000,0.00000000000
21798,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40606.00000000000,0.00000000000,0.00000000000
21799,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40606.00000000000,0.00000000000,0.00000000000
21800,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40606.04000000000,0.00000000000,0.00000000000
21802,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40606.04000000000,0.00000000000,0.00000000000
21803,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40606.04000000000,0.00000000000,0.00000000000
21804,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40606.00000000000,0.00000000000,0.00000000000
