hex_id,per_low_infra,per_high_infra,per_grass,per_shrub,per_tree,per_water,per_dry_grass,per_bare,lcz
21447,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21449,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21451,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21452,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21453,2.1110351040781605,1.6005504048195907,3.7553497889654874,0.7106767101089572,0.1644117548490625,91.0982074387448,0.5597687984339484,0.0,17
21454,0.6702097321960957,0.07590801856220672,11.968579057890235,1.1766779871931143,0.25582661447126226,84.2162134135276,1.6365851761594898,0.0,17
21455,24.49845987038269,15.677090263916611,35.34294374214534,8.570907567580887,6.314383578521968,4.990512801557379,4.605702175895123,0.0,14
21457,32.27217887403354,24.583548540990655,22.21051448758236,9.756299505975218,8.409362420208888,0.0,2.768096171209356,0.0,6
21780,40.00496560715485,17.247172392974214,14.303901720353194,6.231290106301181,8.417688498931957,0.0,13.794981674284609,0.0,6
21782,43.44647540167716,22.039494108012054,15.379088838583082,9.026957187614258,7.066443411390551,0.0,3.0415410527228697,0.0,6
21784,35.69774004595644,40.554634386423984,5.461942530739937,3.966759494376169,9.996089473667922,0.0,4.322834068835583,0.0,3
21792,4.839186327143771,1.9502536570950102,7.451411121509135,0.9798551938137219,0.4373737871250553,80.44889917746144,3.893020735851844,0.0,17
21794,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21795,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21796,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21797,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21798,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21799,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21800,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21802,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21803,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21804,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21805,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21806,0.010244781318247237,0.7315167891279231,11.57808050230951,0.24065385346613463,0.0,76.14088938492895,11.298614688849247,0.0,17
21807,0.07870742509496115,0.0,3.3587088436017463,0.0,0.0,89.76291235204185,6.79967137926143,0.0,17
21808,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21809,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17
21810,16.463544375620597,11.742872003404417,33.79956893154917,6.334322347786341,4.290884517786499,17.6606064904566,9.708201333396378,0.0,3
21811,18.071991260413476,0.3578777935499251,10.95373988697248,0.8829228361100959,0.11348065460212323,66.48262179715135,3.1373657712005407,0.0,17
21812,38.05217154886318,1.6425142663505234,2.15032049419249,0.7823466656684573,0.1266806613006341,57.24596636362473,0.0,0.0,17
21813,0.325764344417727,0.00866866111543997,0.002462687816886355,0.0003940300507018168,0.0,99.66271027659924,0.0,0.0,17
